".\Codemasters\Dizzy - Panic Dizzy (Codemasters 1991).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "353",  "0",  "40AF82E1",  "1",  "5",  "438823",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Dizzy - Prince Of The Yolk Folk (Codemasters 1990).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "547",  "0",  "08B18E15",  "1",  "5",  "660759",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Dizzy - Treasure Island (Codemasters 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "594",  "0",  "DA78365F",  "1",  "5",  "694140",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Fast Food (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "622",  "0",  "4CFC7501",  "1",  "5",  "741073",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Frankenstein Jnr (Codemasters 1987).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "617",  "0",  "C7AEAD3A",  "1",  "5",  "757942",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Fruit Machine (Codemasters 1987).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "778",  "0",  "9E98593D",  "1",  "5",  "918126",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Ghost Hunters (Codemasters 1988).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "809",  "0",  "0CD9C736",  "1",  "5",  "933090",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Guardian Angel (Dinamic, Codemasters 1990).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "678",  "0",  "4B870BC1",  "1",  "5",  "799023",  "DD3DE175",  "Visiload T1",  
".\Codemasters\International Rugby Simulator (Codemasters 1988).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "790",  "0",  "15642B8C",  "1",  "5",  "924608",  "DD3DE175",  "Visiload T1",  
".\Codemasters\KGB Super Spy (Codemasters).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "602",  "0",  "33FDC09F",  "1",  "5",  "707362",  "DD3DE175",  "Visiload T1",  
